t_s,lid_ir_1,lid_ir_2,lid_ir_3,lid_ir_4,hv_current,water_1,water_2,pwr_temp,laser_on_sampled
4729.75,37,36,38,41,0,667,674,587,0
4730.32,37,36,39,39,0,669,670,590,0
4730.89,38,36,39,41,0,668,666,594,0
4731.45,38,37,40,40,0,673,672,587,0
4732.02,38,36,39,40,0,674,665,587,0
4732.58,37,35,39,41,0,676,672,588,0
4733.14,38,35,39,40,0,677,669,589,0
4733.71,38,36,40,40,0,674,667,592,0
4734.27,36,36,39,39,0,673,666,593,0
4734.84,37,36,38,39,0,667,669,587,0
4735.40,38,37,39,40,0,669,666,593,0
4735.96,38,36,40,40,0,668,674,587,0
4736.53,37,36,38,40,0,667,675,587,0
4737.09,38,37,40,40,0,674,668,586,0
4737.66,38,36,39,41,0,667,673,588,0
4738.22,37,37,40,40,0,674,672,593,0
4738.78,37,36,39,40,0,670,667,587,0
4739.35,36,36,39,40,0,668,669,593,0
4739.92,37,37,40,40,0,667,671,591,0
4740.48,37,37,39,39,0,668,674,590,0
4741.05,37,36,39,39,0,668,666,586,0
4741.62,37,36,40,40,0,674,675,592,0
4742.18,37,36,39,39,0,670,676,586,0
4742.75,38,36,39,40,0,669,666,591,0
4743.32,37,36,40,40,0,675,674,587,0
4743.88,36,37,40,40,0,672,665,587,0
4744.45,37,36,39,40,0,674,671,592,0
4745.01,37,36,39,40,0,674,669,588,0
4745.58,37,36,39,40,0,675,665,587,0
4746.15,38,36,40,40,0,673,667,587,0
4746.72,37,35,41,40,0,667,665,590,0
4747.28,37,37,40,41,0,668,674,594,0
4747.85,38,36,39,41,0,668,674,588,0
4748.42,38,36,39,41,0,667,668,587,0
4748.99,36,37,39,39,0,674,674,586,0
4749.56,37,36,39,41,0,674,670,593,0
4750.12,37,36,40,40,0,675,672,592,0
4750.69,37,37,39,39,0,670,668,589,0
4751.25,38,37,39,40,0,672,670,590,0
4751.82,37,36,41,39,0,667,666,591,0
4752.38,38,37,39,40,0,669,666,587,0
4752.95,37,36,39,40,0,669,666,593,0
4753.51,38,36,39,40,0,676,669,592,0
4754.08,37,37,39,40,0,668,667,587,0
4754.65,38,35,38,40,0,667,670,594,0
4755.22,37,36,39,39,0,677,673,587,0
4755.79,38,36,39,40,0,672,666,587,0
4756.35,37,36,39,41,0,670,671,587,0
4756.92,38,36,39,41,0,675,669,593,0
4757.48,37,36,39,39,0,675,674,588,0
4758.05,37,36,39,40,0,672,674,593,0
4758.61,37,36,39,40,0,674,665,586,0
4759.18,37,37,39,39,0,673,669,588,0
4759.75,37,35,39,40,0,674,669,585,0
4760.32,37,37,40,39,0,671,673,587,0
4760.88,38,37,39,40,0,674,673,592,0
4761.45,38,36,39,40,0,673,673,591,0
4762.01,37,36,39,41,0,674,673,592,0
4762.58,37,36,39,41,0,666,672,589,0
4763.14,39,37,39,40,0,665,669,593,0
4763.70,37,36,40,40,0,673,675,587,0
4764.27,36,36,39,40,0,668,670,585,0
4764.83,37,36,39,40,0,668,675,587,0
4765.40,37,37,40,40,0,667,664,592,0
4765.97,38,37,40,40,0,670,676,593,0
4766.54,37,36,39,41,0,665,670,593,0
4767.10,37,36,39,40,0,675,665,587,0
4767.67,37,37,40,40,0,668,666,591,0
4768.23,37,36,40,40,0,668,670,592,0
4768.80,37,36,40,39,0,665,671,589,0
4769.36,37,36,40,40,0,673,671,586,0
4769.93,38,36,39,39,0,676,667,585,0
4770.49,38,36,39,40,0,672,668,586,0
4771.06,38,37,39,41,0,667,674,593,0
4771.62,37,37,38,40,0,668,668,587,0
4772.19,37,36,40,40,0,669,667,586,0
4772.76,37,36,41,40,0,674,666,588,0
4773.33,38,37,39,40,0,666,673,586,0
4773.89,37,36,39,40,0,674,671,591,0
4774.46,37,36,39,40,0,676,671,587,0
4775.03,37,37,40,39,0,669,673,592,0
4775.59,37,37,39,39,0,674,669,587,0
4776.16,38,36,40,40,0,673,672,591,0
4776.72,37,37,40,40,0,674,667,587,0
4777.29,37,36,40,40,0,670,676,592,0
4777.85,38,37,40,41,0,667,670,592,0
4778.42,38,37,39,40,0,669,665,586,0
4778.99,38,37,39,40,0,669,670,594,0
4779.56,38,37,39,40,0,670,673,593,0
4780.12,38,37,38,40,0,667,675,587,0
4780.68,37,36,41,40,0,666,668,592,0
4781.25,37,37,40,40,0,666,666,591,0
4781.82,37,36,40,41,0,665,667,592,0
4782.39,38,37,39,41,0,667,673,587,0
4782.96,37,36,40,40,0,666,667,591,0
4783.52,38,36,40,40,0,674,675,593,0
4784.09,38,36,39,41,0,662,673,586,0
4784.65,37,36,40,41,0,676,671,587,0
4785.22,37,38,40,40,0,669,666,591,0
4785.78,37,37,39,40,0,668,668,592,0
4786.35,37,36,40,40,0,676,673,590,0
4786.91,37,36,40,40,0,669,675,592,0
4787.48,37,37,40,40,0,668,667,587,0
4788.04,37,37,41,39,0,676,674,586,0
4788.60,37,36,39,40,0,669,672,588,0
4789.17,38,37,40,40,0,667,674,592,0
4789.74,38,37,40,40,0,674,676,592,0
4790.30,37,36,39,41,0,662,669,592,0
4790.87,38,36,39,40,0,666,666,588,0
4791.44,37,37,40,40,0,675,675,590,0
4792.01,37,36,40,40,0,668,668,587,0
4792.57,37,36,40,40,0,672,667,587,0
4793.14,37,36,39,40,0,673,669,593,0
4793.70,37,36,41,41,0,666,669,588,0
4794.27,37,37,40,40,0,676,673,588,0
4794.83,37,36,38,40,0,671,674,588,0
4795.40,36,36,40,40,0,671,667,588,0
4795.97,37,36,39,39,0,672,670,586,0
4796.54,37,36,39,40,0,667,667,587,0
4797.10,37,35,40,40,0,675,673,586,0
4797.67,37,37,40,40,0,670,669,592,0
4798.24,37,36,40,40,0,669,671,588,0
4798.81,37,37,40,39,0,675,674,592,0
4799.37,37,37,38,40,0,670,669,591,0
4799.94,37,36,39,40,0,674,673,593,0
4800.51,36,36,40,40,0,674,672,587,0
4801.07,37,36,40,40,0,673,673,589,0
4801.64,37,36,40,40,0,671,667,587,0
4802.20,37,35,39,41,0,670,668,586,0
4802.77,37,36,40,39,0,674,667,588,0
4803.33,37,37,40,39,0,670,678,589,0
4803.91,37,35,40,40,0,671,675,592,0
4804.47,38,36,40,41,0,666,675,592,0
4805.04,37,36,39,40,0,668,672,593,0
4805.60,38,36,40,40,0,676,670,588,0
4806.17,38,36,38,39,0,670,677,590,0
4806.74,37,37,39,40,0,675,671,587,0
4807.30,37,36,40,40,0,672,668,587,0
4807.87,38,37,39,40,0,667,668,591,0
4808.43,37,36,40,39,0,666,666,586,0
4809.00,37,36,41,39,0,673,667,591,0
4809.56,36,37,38,40,0,675,668,586,0
4810.13,36,36,40,40,0,672,669,592,0
4810.70,38,36,40,39,0,673,667,592,0
4811.27,38,36,40,41,0,672,673,587,0
4811.83,37,36,40,40,0,668,667,586,0
4812.40,37,37,39,39,0,666,669,586,0
4812.96,37,36,40,41,0,671,667,589,0
4813.52,37,37,39,40,0,674,673,587,0
4814.09,38,36,39,40,0,668,671,592,0
4814.65,37,36,39,38,0,669,669,594,0
4815.22,37,36,39,40,0,667,669,587,0
4815.78,37,36,39,40,0,671,674,591,0
4816.35,37,37,40,39,0,666,663,589,0
4816.92,37,37,40,40,0,672,668,588,0
4817.49,37,37,39,39,0,675,671,589,0
4818.05,38,37,40,41,0,675,666,592,0
4818.62,38,37,40,40,0,666,666,591,0
4819.18,37,37,39,40,0,671,667,591,0
4819.75,37,36,39,40,0,673,669,591,0
4820.32,37,37,39,40,0,674,674,587,0
4820.88,37,37,40,40,0,675,666,585,0
4821.45,36,36,40,41,0,667,675,593,0
4822.02,38,37,39,39,0,668,675,591,0
4822.58,36,37,41,40,0,667,672,590,0
4823.15,37,36,38,40,0,676,671,589,0
4823.72,37,37,39,41,0,673,671,587,0
4824.28,38,36,40,41,0,666,670,592,0
4824.85,37,36,40,40,0,666,672,590,0
4825.41,37,36,40,41,0,674,674,586,0
4825.99,38,36,40,41,0,675,671,593,0
4826.55,37,36,38,40,0,673,670,588,0
4827.12,37,37,39,39,0,668,665,587,0
4827.68,38,37,40,41,0,666,666,587,0
4828.25,37,36,39,39,0,673,668,585,0
4828.81,38,36,40,40,0,668,666,588,0
4829.38,37,37,39,40,0,668,675,592,0
4829.95,37,37,40,39,0,665,667,589,0
4830.51,36,37,39,40,0,669,675,593,0
4831.08,38,36,40,40,0,667,669,586,0
4831.65,37,36,40,40,0,677,668,592,0
4832.21,37,38,39,40,0,668,667,589,0
4832.78,37,37,40,41,0,665,675,589,0
4833.34,37,36,39,40,0,676,673,586,0
4833.91,37,37,38,40,0,666,667,587,0
4834.49,37,37,40,39,0,673,668,587,0
4835.05,36,37,40,39,0,667,667,586,0
4835.62,37,37,40,40,0,671,667,587,0
4836.18,38,36,39,40,0,673,674,588,0
4836.75,37,37,39,39,0,668,669,589,0
4837.31,38,37,39,40,0,672,667,589,0
4837.88,37,37,39,40,0,670,674,592,0
4838.45,37,36,40,41,0,667,674,593,0
4839.02,38,35,39,40,0,671,666,586,0
4839.59,38,37,40,40,0,670,669,591,0
4840.15,38,36,40,40,0,673,674,594,0
4840.72,37,35,39,41,0,666,667,588,0
4841.28,37,36,39,40,0,667,666,593,0
4841.85,37,36,39,39,0,674,671,588,0
4842.41,37,37,38,40,0,672,671,587,0
4842.98,38,36,41,41,0,674,666,587,0
4843.54,37,37,40,40,0,667,668,587,0
4844.10,38,36,39,41,0,673,675,588,0
4844.67,37,36,38,40,0,671,669,592,0
4845.23,38,37,39,40,0,676,665,587,0
4845.80,38,37,40,40,0,674,675,590,0
4846.36,37,37,40,40,0,671,672,586,0
4846.94,38,36,40,40,0,674,676,587,0
4847.50,38,38,40,40,0,679,673,589,0
4848.07,38,36,40,41,0,671,666,592,0
4848.64,36,37,40,40,0,668,665,590,0
4849.20,37,36,40,40,0,670,668,586,0
4849.77,37,35,40,40,0,669,670,588,0
4850.33,37,37,39,39,0,666,666,594,0
4850.90,37,36,40,39,0,672,672,586,0
4851.47,37,36,39,39,0,675,675,593,0
4852.04,37,36,40,40,0,669,671,592,0
4852.61,38,37,39,40,0,669,676,593,0
4853.18,38,36,40,40,0,671,671,586,0
4853.75,37,36,40,40,0,675,670,589,0
4854.32,38,37,39,40,0,675,668,589,0
4854.88,38,36,39,40,0,668,667,592,0
4855.45,37,36,40,40,0,674,668,591,0
4856.01,37,36,39,40,0,675,667,587,0
4856.58,36,37,40,39,0,665,667,588,0
4857.14,38,37,40,40,0,669,665,586,0
4857.71,37,36,39,40,0,675,667,587,0
4858.27,37,36,40,40,0,673,672,590,0
4858.84,38,36,39,40,0,677,674,587,0
4859.41,37,36,41,39,0,668,675,587,0
4859.98,37,36,39,39,0,676,670,586,0
4860.54,37,36,40,40,0,676,666,588,0
4861.11,37,36,39,40,0,676,673,591,0
4861.67,38,36,39,40,0,669,671,589,0
4862.24,37,36,40,39,0,676,675,589,0
4862.80,37,36,39,40,0,669,668,593,0
4863.37,38,36,40,41,0,673,674,588,0
4863.93,38,36,40,40,0,668,669,589,0
4864.50,38,36,40,40,0,669,674,594,0
4865.06,37,36,40,40,0,673,665,594,0
4865.63,37,37,39,40,0,674,675,594,0
4866.20,38,36,40,40,0,673,667,594,0
4866.76,37,36,39,40,0,669,668,586,0
4867.33,37,37,38,39,0,665,666,586,0
4867.90,37,36,39,39,0,667,669,592,0
4868.46,37,37,40,39,0,668,677,589,0
4869.03,37,37,39,40,0,674,675,587,0
4869.60,37,36,39,39,0,674,669,593,0
4870.17,38,37,39,40,0,676,673,587,0
4870.73,37,37,40,40,0,676,667,587,0
4871.30,38,37,39,40,0,669,674,588,0
4871.86,38,36,40,40,0,663,666,592,0
4872.43,38,37,39,40,0,670,670,594,0
4873.00,38,36,40,40,0,668,666,590,0
4873.56,37,35,39,40,0,667,674,591,0
4874.12,37,36,40,39,0,675,666,587,0
4874.70,37,37,40,39,0,674,673,592,0
4875.26,36,36,39,40,0,668,677,588,0
4875.83,38,36,39,41,0,673,667,593,0
4876.40,36,36,39,40,0,671,669,593,0
4876.96,37,36,40,40,0,669,672,588,0
4877.53,36,37,39,40,0,666,667,594,0
4878.10,38,35,39,40,0,667,667,586,0
4878.67,38,36,38,40,0,676,674,587,0
4879.24,37,36,39,40,0,667,676,588,0
4879.80,37,36,40,39,0,675,673,594,0
4880.36,38,35,40,40,0,676,668,592,0
4880.93,38,37,39,41,0,665,671,588,0
4881.49,36,35,38,41,0,667,673,594,0
4882.06,38,36,39,40,0,664,667,592,0
4882.62,37,36,40,41,0,671,674,593,0
4883.19,37,37,38,41,0,672,667,587,0
4883.75,37,37,40,40,0,670,673,592,0
4884.31,37,37,40,40,0,672,669,586,0
4884.88,38,36,39,40,0,674,674,593,0
4885.44,38,37,40,40,0,667,674,588,0
4886.01,38,36,39,41,0,669,669,593,0
4886.57,37,36,40,41,0,667,674,586,0
4887.14,38,36,38,41,0,674,674,588,0
4887.71,38,37,39,41,0,672,668,592,0
4888.28,39,38,39,40,0,667,668,591,0
4888.84,37,37,39,38,0,669,672,592,0
4889.41,36,36,40,39,0,669,667,591,0
4889.97,38,36,39,40,0,674,677,593,0
4890.54,37,37,40,39,0,674,670,586,0
4891.10,37,36,39,41,0,667,675,591,0
4891.67,37,36,39,41,0,668,666,593,0
4892.23,37,37,39,40,0,674,670,588,0
4892.80,38,37,39,41,0,675,671,591,0
4893.36,38,37,39,41,0,667,670,592,0
4893.92,37,36,39,39,0,670,673,592,0
4894.49,37,36,40,40,0,669,667,593,0
4895.05,37,36,38,40,0,674,674,588,0
4895.62,37,36,41,39,0,674,675,587,0
4896.19,38,36,40,40,0,674,667,588,0
4896.76,37,37,40,41,0,666,667,591,0
4897.33,37,35,39,40,0,676,678,592,0
4897.89,37,36,40,39,0,669,672,588,0
4898.46,37,37,40,40,0,669,666,587,0
4899.02,37,36,41,40,0,673,666,586,0
4899.58,36,35,39,39,0,665,674,592,0
4900.15,37,37,40,40,0,670,667,586,0
4900.71,37,36,40,41,0,666,664,589,0
4901.28,37,36,40,40,0,674,674,594,0
4901.85,37,36,40,40,0,669,671,592,0
4902.42,37,36,40,40,0,668,667,592,0
4902.98,38,36,39,39,0,673,667,592,0
4903.55,38,37,38,40,0,674,674,588,0
4904.12,39,37,40,41,0,669,665,587,0
4904.68,37,36,40,41,0,666,673,592,0
4905.25,38,37,39,39,0,664,675,591,0
4905.81,37,36,39,40,0,669,667,587,0
4906.38,37,35,40,39,0,675,671,593,0
4906.94,37,37,39,40,0,674,674,591,0
4907.51,38,37,39,39,0,669,665,592,0
4908.07,37,37,40,40,0,669,666,586,0
4908.64,38,37,40,39,0,676,669,589,0
4909.21,38,36,39,40,0,666,668,593,0
4909.78,38,36,40,40,0,670,671,592,0
4910.34,38,36,39,39,0,665,670,588,0
4910.91,38,36,39,40,0,672,669,593,0
4911.47,37,36,40,39,0,669,665,587,0
4912.03,38,36,40,40,0,669,673,589,0
4912.60,37,37,39,40,0,674,673,587,0
4913.17,36,37,39,40,0,673,675,587,0
4913.73,37,38,39,40,0,674,674,594,0
4914.30,36,37,38,40,0,668,674,592,0
4914.87,38,37,39,40,0,670,666,591,0
4915.44,37,36,40,40,0,672,675,589,0
4916.00,37,37,39,41,0,666,666,588,0
4916.56,37,36,38,39,0,667,666,588,0
4917.13,37,37,39,40,0,672,672,586,0
4917.70,37,37,40,40,0,668,665,587,0
4918.26,37,37,39,40,0,674,674,586,0
4918.82,38,35,40,40,0,675,675,588,0
4919.39,37,36,39,41,0,670,674,590,0
4919.95,37,37,40,41,0,676,673,594,0
4920.52,38,36,39,41,0,672,669,593,0
4921.08,37,35,40,40,0,669,667,586,0
4921.65,39,37,39,40,0,671,673,590,0
4922.21,37,36,38,40,0,669,676,593,0
4922.78,37,36,40,40,0,670,666,586,0
4923.35,37,36,40,40,0,669,669,586,0
4923.92,37,37,40,41,0,674,674,588,0
4924.49,37,36,40,40,0,666,673,593,0
4925.05,38,37,40,39,0,674,675,586,0
4925.62,37,38,38,40,0,673,674,593,0
4926.19,38,36,39,40,0,675,674,588,0
4926.76,37,36,40,40,0,672,674,587,0
4927.32,37,36,39,40,0,669,676,593,0
4927.89,38,36,40,40,0,670,671,588,0
4928.45,37,36,40,40,0,675,668,588,0
4929.02,38,38,40,40,0,669,673,588,0
4929.58,37,36,39,39,0,670,674,592,0
4930.15,37,37,39,38,0,668,668,586,0
4930.71,37,37,39,40,0,672,667,587,0
4931.28,37,37,40,40,0,673,667,589,0
4931.84,37,36,39,41,0,673,671,587,0
4932.41,38,37,38,41,0,675,669,594,0
4932.98,38,37,39,40,0,668,667,594,0
4933.55,38,37,40,41,0,673,667,588,0
4934.11,37,36,40,41,0,666,670,591,0
4934.68,38,36,40,40,0,674,674,585,0
4935.24,37,36,40,40,0,674,668,591,0
4935.81,37,36,40,40,0,676,674,587,0
4936.37,37,37,40,40,0,668,673,587,0
4936.94,38,35,39,40,0,673,675,588,0
4937.50,37,36,40,40,0,668,668,593,0
4938.07,37,35,40,40,0,668,671,588,0
4938.64,38,36,40,40,0,675,667,594,0
4939.21,37,35,40,40,0,673,669,593,0
4939.77,37,36,39,40,0,671,672,592,0
4940.34,37,35,40,41,0,673,673,588,0
4940.90,37,36,40,39,0,667,673,589,0
4941.47,38,36,39,39,0,667,675,588,0
4942.03,38,37,39,40,0,674,670,587,0
4942.60,37,36,39,41,0,675,674,590,0
4943.16,37,37,40,41,0,671,664,587,0
4943.73,37,36,38,40,0,666,669,588,0
4944.30,37,36,40,40,0,667,667,585,0
4944.87,37,36,40,40,0,669,667,588,0
4945.43,37,37,40,40,0,673,675,590,0
4946.00,36,36,39,40,0,676,668,594,0
4946.56,36,36,39,40,0,668,670,592,0
4947.13,39,37,39,40,0,674,669,588,0
4947.69,37,35,39,39,0,676,669,593,0
4948.26,37,36,40,39,0,676,673,587,0
4948.82,38,36,40,40,0,668,671,592,0
4949.39,37,36,39,40,0,669,668,593,0
4949.96,38,37,38,40,0,666,674,587,0
4950.53,37,36,40,40,0,670,666,586,0
4951.09,37,36,40,40,0,673,674,587,0
4951.66,37,36,40,40,0,666,665,591,0
4952.22,36,36,39,40,0,676,676,589,0
4952.79,37,37,40,40,0,670,669,593,0
4953.35,37,36,40,40,0,678,672,592,0
4953.92,37,37,39,40,0,669,674,587,0
4954.48,38,36,39,40,0,667,666,592,0
4955.06,37,37,39,40,0,674,676,587,0
4955.62,38,36,40,40,0,668,669,593,0
4956.19,38,36,39,40,0,667,666,588,0
4956.76,37,36,40,40,0,667,672,592,0
4957.32,37,35,40,40,0,666,672,594,0
4957.88,37,36,40,40,0,674,674,590,0
4958.45,37,37,40,40,0,669,664,586,0
4959.01,38,36,39,40,0,674,667,587,0
4959.58,38,37,40,40,0,673,673,593,0
4960.15,37,36,40,41,0,669,674,587,0
4960.72,37,36,41,40,0,674,675,592,0
4961.29,38,36,39,40,0,671,673,588,0
4961.85,36,36,40,40,0,670,665,594,0
4962.42,37,36,39,41,0,669,667,589,0
4962.98,37,36,39,38,0,669,674,593,0
4963.55,37,37,39,40,0,669,667,591,0
4964.11,38,35,41,41,0,671,669,594,0
4964.68,37,36,40,39,0,674,668,588,0
4965.24,37,36,40,40,0,675,673,593,0
4965.81,38,36,39,40,0,671,676,594,0
4966.38,38,37,39,40,0,674,669,586,0
4966.94,36,36,40,40,0,675,674,594,0
4967.51,37,36,40,39,0,666,666,589,0
4968.07,37,35,40,41,0,669,674,592,0
4968.64,37,36,40,40,0,669,668,587,0
4969.21,39,36,38,40,0,667,674,595,0
4969.77,37,36,40,40,0,665,675,586,0
4970.33,38,37,40,40,0,669,669,588,0
4970.90,38,36,40,40,0,668,666,588,0
4971.46,37,36,39,40,0,668,667,593,0
4972.03,37,37,39,40,0,672,671,594,0
4972.59,37,36,40,40,0,674,669,594,0
4973.16,38,37,39,40,0,668,669,594,0
4973.72,37,37,39,40,0,677,671,590,0
4974.28,38,37,40,40,0,673,673,588,0
4974.85,37,36,39,42,0,675,675,592,0
4975.41,37,37,40,40,0,671,670,591,0
4975.98,37,36,39,40,0,669,667,589,0
4976.54,37,36,38,40,0,667,672,587,0
4977.10,37,37,41,40,0,671,675,587,0
4977.67,37,35,38,41,0,671,668,593,0
4978.23,36,36,40,40,0,676,673,592,0
4978.80,38,36,40,39,0,667,677,588,0
4979.36,38,37,40,40,0,672,673,587,0
4979.92,38,36,40,41,0,669,670,588,0
4980.49,37,35,40,40,0,670,669,593,0
4981.05,37,37,39,40,0,671,672,593,0
4981.62,37,37,40,40,0,669,672,589,0
4982.19,38,36,39,40,0,669,673,591,0
4982.76,38,36,40,39,0,666,674,593,0
4983.33,39,36,39,39,0,671,671,593,0
4983.89,37,37,40,40,0,669,668,593,0
4984.46,37,36,39,40,0,669,668,592,0
4985.03,37,37,40,40,0,670,664,592,0
4985.60,37,36,39,39,0,676,673,589,0
4986.17,38,37,40,40,0,668,668,586,0
4986.73,37,36,38,39,0,666,671,591,0
4987.30,37,36,39,40,0,673,666,587,0
4987.86,38,36,40,40,0,667,667,587,0
4988.43,37,36,38,40,0,668,676,592,0
4989.00,37,37,39,40,0,675,673,589,0
4989.57,36,37,39,40,0,674,667,593,0
4990.13,37,36,40,40,0,661,674,594,0
4990.70,38,37,39,39,0,670,675,590,0
4991.26,38,36,39,40,0,669,668,594,0
4991.83,37,36,40,39,0,668,668,587,0
4992.39,37,37,39,41,0,668,672,587,0
4992.96,38,37,40,40,0,676,665,594,0
4993.52,36,36,39,41,0,669,671,594,0
4994.08,38,37,39,40,0,676,666,588,0
4994.65,37,36,39,40,0,668,666,591,0
4995.21,38,35,39,40,0,674,665,590,0
4995.78,38,36,40,40,0,670,667,589,0
4996.35,37,36,40,41,0,666,672,588,0
4996.92,38,36,40,40,0,676,673,589,0
4997.48,38,35,38,39,0,675,666,589,0
4998.05,38,36,40,41,0,672,670,588,0
4998.61,37,37,40,40,0,676,677,593,0
4999.18,37,38,40,40,0,669,671,593,0
4999.75,38,36,38,40,0,673,667,586,0
5000.31,36,36,39,41,0,668,666,590,0
5000.88,37,35,40,40,0,669,673,584,0
5001.45,38,36,40,40,0,666,666,594,0
5002.02,37,36,40,40,0,666,672,589,0
5002.59,37,36,38,40,0,667,666,587,0
5003.15,37,36,40,39,0,675,672,586,0
5003.72,37,36,38,41,0,677,670,590,0
5004.29,38,36,39,40,0,674,669,594,0
5004.86,37,36,40,41,0,675,674,592,0
